site_no,date,mean
09014050,2021-06-07,1.6722222222222223
09014050,2021-06-08,1.6847222222222222
09014050,2021-06-09,1.6381944444444445
09014050,2021-06-10,1.6625
09014050,2021-06-11,1.6152777777777778
09014050,2021-06-12,1.6104166666666666
09014050,2021-06-13,1.601388888888889
09014050,2021-06-14,1.5972027972027973
09014050,2021-06-15,1.5601398601398602
09014050,2021-06-16,1.5354166666666667
09014050,2021-06-17,1.4513888888888888
09014050,2021-06-18,1.4314685314685314
09014050,2021-06-19,1.5666666666666667
09014050,2021-06-20,1.6
09014050,2021-06-21,1.49645390070922
09014050,2021-06-22,1.4608391608391609
09014050,2021-06-23,1.4402777777777778
09014050,2021-06-24,1.4458333333333333
09014050,2021-06-25,1.4895833333333333
09014050,2021-06-26,1.5035211267605635
09014050,2021-06-27,1.5256944444444445
09014050,2021-06-28,1.667605633802817
09014050,2021-06-29,1.720979020979021
09014050,2021-06-30,1.7673611111111112
09014050,2021-07-01,1.5854166666666667
09014050,2021-07-02,1.6958333333333333
09014050,2021-07-03,1.851048951048951
09014050,2021-07-04,1.9380281690140846
09014050,2021-07-05,1.8680555555555556
09014050,2021-07-06,1.662937062937063
09014050,2021-07-07,1.8055555555555556
09014050,2021-07-08,1.7541666666666667
09014050,2021-07-09,1.8300699300699301
09014050,2021-07-10,1.6909722222222223
09014050,2021-07-11,1.6736111111111112
09014050,2021-07-12,1.61875
09014050,2021-07-13,1.510948905109489
09014050,2021-07-14,1.6861111111111111
09014050,2021-07-15,1.5451388888888888
09014050,2021-07-16,1.698611111111111
09014050,2021-07-17,1.7861111111111112
09014050,2021-07-18,1.6819444444444445
09014050,2021-07-19,1.4152777777777779
09014050,2021-07-20,1.4520833333333334
09014050,2021-07-21,1.33125
09014050,2021-07-22,1.6201388888888888
09014050,2021-07-23,1.41875
09014050,2021-07-24,1.3138888888888889
09014050,2021-07-25,1.4131944444444444
09014050,2021-07-26,1.5041666666666667
09014050,2021-07-27,1.5402777777777779
09014050,2021-07-28,1.4398601398601398
09014050,2021-07-29,1.41875
09014050,2021-07-30,1.5784722222222223
09014050,2021-07-31,1.597902097902098
09014050,2021-08-01,1.5378787878787878
09014050,2021-08-02,1.5528985507246378
09014050,2021-08-03,1.4753623188405798
09014050,2021-08-04,1.6887218045112782
09014050,2021-08-05,1.7951048951048951
09014050,2021-08-06,1.916546762589928
09014050,2021-08-07,2.5727272727272728
09014050,2021-08-08,2.4734265734265732
09014050,2021-08-09,2.6333333333333333
09014050,2021-08-10,2.753623188405797
09014050,2021-08-11,2.801418439716312
09014050,2021-08-12,2.810416666666667
09014050,2021-08-13,2.8465277777777778
09014050,2021-08-14,2.790277777777778
09014050,2021-08-15,2.827777777777778
09014050,2021-08-16,2.7077464788732395
09014050,2021-08-17,2.7145833333333336
09014050,2021-08-18,2.682638888888889
09014050,2021-08-19,2.602816901408451
09014050,2021-08-20,2.716666666666667
09014050,2021-08-21,2.7756944444444445
09014050,2021-08-22,3.0485915492957747
09014050,2021-08-23,3.0846153846153848
09014050,2021-08-24,2.7875
09014050,2021-08-25,2.6256944444444446
09014050,2021-08-26,2.5027777777777778
09014050,2021-08-27,2.4993055555555554
09014050,2021-08-28,2.5166666666666666
09014050,2021-08-29,2.48125
09014050,2021-08-30,2.3472222222222223
09014050,2021-08-31,2.13125
09014050,2021-09-01,2.0840277777777776
09014050,2021-09-02,2.1833333333333336
09014050,2021-09-03,2.183916083916084
09014050,2021-09-04,2.204861111111111
09014050,2021-09-05,2.301388888888889
09014050,2021-09-06,2.1930555555555555
09014050,2021-09-07,2
09014050,2021-09-08,1.8680555555555556
09014050,2021-09-09,1.9375
09014050,2021-09-10,1.9368055555555554
09014050,2021-09-11,1.9328467153284672
09014050,2021-09-12,2.134965034965035
09014050,2021-09-13,1.9090909090909092
09014050,2021-09-14,1.4895104895104896
09014050,2021-09-15,1.3170212765957447
09014050,2021-09-16,1.728169014084507
09014050,2021-09-17,1.7776315789473685
09014050,2021-09-18,1.8715277777777777
09014050,2021-09-19,2.2237762237762237
09014050,2021-09-20,2.2901408450704226
09014050,2021-09-21,2.1092857142857144
09014050,2021-09-22,2.197590361445783
09014050,2021-09-23,2.232258064516129
09014050,2021-09-24,2.216666666666667
09014050,2021-09-25,2.3229166666666665
09014050,2021-09-26,2.35
09014050,2021-09-27,2.2493055555555554
09014050,2021-09-28,2.2305555555555556
09014050,2021-09-29,2.342361111111111
09014050,2021-09-30,2.189583333333333
09014050,2021-10-01,1.9931818181818182
